side,point_index,x_local,y_local,z_local,x_global,y_global,z_global,vs_max,grad_norm,grad_x,grad_y,grad_z,hess_eig1,hess_eig2,hess_eig3,stationary_shift,tangential_grad_norm,tangential_grad_u,tangential_grad_v,tangential_hess_eig1,tangential_hess_eig2,tangential_stationary_shift,n_mls_neighbors,vhole_mean,vhole_max,vhole_min,delta_vhole,mean_sector_potential,min_sector_potential,max_sector_potential,min_sector_id,max_sector_id,anisotropy_angle_deg,validated,reason
above,5563,0.009847556383286566,0.035881236356901276,1.7408251540761874,9.454898393563937,-1.6537369406473532,25.11005297627291,-16.5832116865,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,-9.221382961586805,-8.480644348101595,-9.802527010576515,1.3218826624749198,-7.361828724913195,-8.102567338398405,-6.780684675923485,4,1,135.0,True,Validated.
below,4137,0.007261094076217151,-0.0012711061498028027,-1.7398489455577189,8.398459117001916,1.6629494396296847,25.1126383244545,-16.5778932362,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,-9.287349290016323,-8.723612874676615,-10.086854504793141,1.3632416301165273,-7.290543946183678,-7.854280361523387,-6.49103873140686,0,2,90.0,True,Validated.
